timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2023-01-01 08:00:00,16519.50,16536.10,16496.80,16532.70,7238.463,2023-01-01 09:59:59,119537571.79230,47733,3440.967,56827582.43740,0
2023-01-01 10:00:00,16532.70,16549.80,16527.30,16549.80,7878.813,2023-01-01 11:59:59,130304522.81490,44115,3951.528,65354810.57360,0
2023-01-01 12:00:00,16549.80,16565.90,16530.50,16539.90,9987.257,2023-01-01 13:59:59,165272428.38780,52530,4519.364,74789128.68070,0
2023-01-01 14:00:00,16539.90,16553.10,16524.60,16553.10,5555.627,2023-01-01 15:59:59,91888029.94560,37771,2961.299,48981182.96940,0
2023-01-01 16:00:00,16553.00,16589.40,16552.60,16573.10,13608.984,2023-01-01 17:59:59,225482645.42140,69307,7530.531,124772546.43420,0
2023-01-01 18:00:00,16573.10,16615.80,16573.00,16596.10,12362.432,2023-01-01 19:59:59,205173589.79260,64220,6668.887,110682918.86230,0
2023-01-01 20:00:00,16596.10,16618.80,16584.10,16597.60,7992.621,2023-01-01 21:59:59,132679811.00690,50364,3666.034,60860143.08940,0
2023-01-01 22:00:00,16597.60,16617.40,16579.10,16610.30,8673.894,2023-01-01 23:59:59,143982517.25860,48032,4402.381,73077393.53230,0
2023-01-02 00:00:00,16610.40,16618.40,16541.20,16556.50,15306.431,2023-01-02 01:59:59,253631705.21310,73181,6572.038,108896654.73310,0
2023-01-02 02:00:00,16556.50,16700.70,16547.50,16654.60,21335.315,2023-01-02 03:59:59,354991300.29580,92143,12727.046,211754211.02540,0
2023-01-02 04:00:00,16654.70,16665.00,16612.80,16640.00,15088.109,2023-01-02 05:59:59,251012180.68510,73852,7203.835,119846041.72620,0
2023-01-02 06:00:00,16640.10,16767.80,16627.80,16712.50,38247.363,2023-01-02 07:59:59,639107434.47514,159583,20275.820,338822982.78104,0
2023-01-02 08:00:00,16712.60,16764.00,16701.00,16710.00,22495.885,2023-01-02 09:59:59,376314418.07360,106584,11054.028,184923552.31020,0
2023-01-02 10:00:00,16710.00,16759.80,16696.00,16728.50,15054.746,2023-01-02 11:59:59,251749753.62770,76299,7575.875,126699940.94850,0
2023-01-02 12:00:00,16728.40,16736.10,16674.30,16687.80,14724.653,2023-01-02 13:59:59,245980428.46590,81058,6637.637,110891542.75710,0
2023-01-02 14:00:00,16687.70,16744.80,16665.00,16729.20,21136.583,2023-01-02 15:59:59,353084719.92880,96989,11619.170,194098846.52980,0
2023-01-02 16:00:00,16729.20,16732.90,16702.60,16710.10,10663.342,2023-01-02 17:59:59,178252188.22040,51970,4479.624,74880268.28980,0
2023-01-02 18:00:00,16710.00,16732.10,16703.90,16730.50,5886.655,2023-01-02 19:59:59,98402478.82980,36607,3366.973,56284280.13070,0
2023-01-02 20:00:00,16730.50,16799.00,16702.70,16751.90,12942.299,2023-01-02 21:59:59,216707925.72020,61367,7606.467,127384732.49820,0
2023-01-02 22:00:00,16751.90,16755.70,16650.00,16666.00,22279.795,2023-01-02 23:59:59,372119770.81690,110382,9353.612,156240916.40860,0
2023-01-03 00:00:00,16665.90,16699.70,16639.50,16670.50,15276.081,2023-01-03 01:59:59,254632084.78920,76387,7607.311,126813354.00760,0
2023-01-03 02:00:00,16670.40,16694.00,16661.50,16684.50,6776.382,2023-01-03 03:59:59,113006666.63140,38419,3679.466,61362162.84070,0
2023-01-03 04:00:00,16684.40,16721.90,16675.20,16720.00,8013.918,2023-01-03 05:59:59,133799116.80680,46810,4298.139,71766278.07060,0
2023-01-03 06:00:00,16720.00,16774.00,16700.60,16723.10,21383.437,2023-01-03 07:59:59,357804178.61390,93784,10949.094,183219339.31170,0
2023-01-03 08:00:00,16723.10,16750.50,16691.70,16732.90,13355.253,2023-01-03 09:59:59,223299052.41490,67858,6342.040,106048224.26360,0
