timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2023-01-01 08:00:00,16519.50,16524.90,16506.00,16515.60,1961.317,2023-01-01 08:29:59,32391087.09000,11724,744.139,12289601.39660,0
2023-01-01 08:30:00,16515.70,16518.80,16502.00,16504.20,1328.444,2023-01-01 08:59:59,21929254.50470,9862,569.089,9393984.09410,0
2023-01-01 09:00:00,16504.30,16514.40,16496.80,16508.70,1735.377,2023-01-01 09:29:59,28641703.10500,12326,813.380,13425130.03670,0
2023-01-01 09:30:00,16508.70,16536.10,16508.70,16532.70,2213.325,2023-01-01 09:59:59,36575527.09260,13821,1314.359,21718866.91000,0
2023-01-01 10:00:00,16532.70,16540.30,16529.00,16538.00,2197.406,2023-01-01 10:29:59,36334555.10500,11667,1045.505,17287896.66990,0
2023-01-01 10:30:00,16537.90,16542.90,16527.30,16542.80,1913.019,2023-01-01 10:59:59,31629776.14890,10062,966.933,15987838.72680,0
2023-01-01 11:00:00,16542.90,16547.30,16535.10,16538.90,2139.876,2023-01-01 11:29:59,35398583.65530,12390,1025.198,16959678.75570,0
2023-01-01 11:30:00,16538.90,16549.80,16536.30,16549.80,1628.512,2023-01-01 11:59:59,26941607.90570,9996,913.892,15119396.42120,0
2023-01-01 12:00:00,16549.80,16565.90,16542.90,16555.30,4015.069,2023-01-01 12:29:59,66463046.27430,19447,1920.005,31783829.33620,0
2023-01-01 12:30:00,16555.30,16564.00,16547.20,16553.90,1466.932,2023-01-01 12:59:59,24281632.96800,8833,628.220,10398976.46490,0
2023-01-01 13:00:00,16553.80,16559.80,16532.30,16540.50,2758.347,2023-01-01 13:29:59,45640793.78460,14120,1085.814,17966637.42620,0
2023-01-01 13:30:00,16540.50,16541.70,16530.50,16539.90,1746.909,2023-01-01 13:59:59,28886955.36090,10130,885.325,14639685.45340,0
2023-01-01 14:00:00,16539.90,16549.70,16538.60,16549.20,1136.971,2023-01-01 14:29:59,18809889.00990,9474,675.228,11171000.77000,0
2023-01-01 14:30:00,16549.20,16549.20,16533.10,16533.10,1311.473,2023-01-01 14:59:59,21693113.32830,8889,499.895,8268836.56400,0
2023-01-01 15:00:00,16533.20,16540.30,16524.60,16534.50,1738.386,2023-01-01 15:29:59,28740960.82060,10700,857.981,14185852.75960,0
2023-01-01 15:30:00,16534.50,16553.10,16534.40,16553.10,1368.797,2023-01-01 15:59:59,22644066.78680,8708,928.195,15355492.87580,0
2023-01-01 16:00:00,16553.00,16579.00,16552.60,16572.20,5209.497,2023-01-01 16:29:59,86287727.07400,24315,3228.567,53478727.86660,0
2023-01-01 16:30:00,16572.20,16573.80,16552.70,16556.00,2272.595,2023-01-01 16:59:59,37641378.26530,13035,948.915,15717037.33970,0
2023-01-01 17:00:00,16556.10,16589.40,16555.50,16575.10,4099.505,2023-01-01 17:29:59,67952648.53670,19768,2344.757,38865496.63830,0
2023-01-01 17:30:00,16575.10,16581.30,16566.40,16573.10,2027.387,2023-01-01 17:59:59,33600891.54540,12189,1008.292,16711284.58960,0
2023-01-01 18:00:00,16573.10,16597.00,16573.00,16588.00,3495.862,2023-01-01 18:29:59,57988316.44040,17334,2003.843,33238348.84440,0
2023-01-01 18:30:00,16588.00,16591.00,16578.80,16584.30,1459.773,2023-01-01 18:59:59,24211005.49970,9423,599.560,9944305.69380,0
2023-01-01 19:00:00,16584.30,16615.80,16584.20,16613.30,4507.887,2023-01-01 19:29:59,74841950.70720,21562,2798.229,46458253.44170,0
2023-01-01 19:30:00,16613.20,16615.10,16584.80,16596.10,2898.910,2023-01-01 19:59:59,48132317.14530,15901,1267.255,21042010.88240,0
2023-01-01 20:00:00,16596.10,16618.80,16595.00,16609.00,2824.310,2023-01-01 20:29:59,46899076.58310,15943,1540.728,25585600.58750,0
